,age,number_of_time_30_59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_times_90_days_late,number_real_estate_loans_or_lines,number_of_time_60_89_days_past_due_not_worse,number_of_dependents,monthly_income_max,revolving_utilization_of_unsecured_lines_impute,debt_ratio_impute,serious_dlqin_2yrs
108042,0,1,1,1,1,0,0,0,2,1,1,1
28671,1,1,0,6,1,0,0,0,8,7,0,0
14922,2,0,1,3,0,0,0,1,5,7,1,0
1775,3,0,7,0,0,3,0,0,2,4,0,0
100062,6,0,2,1,0,1,0,1,2,1,1,0
71809,4,1,2,7,0,1,0,1,9,7,1,0
61143,9,0,6,0,0,0,0,0,1,1,0,0
32314,8,0,3,5,0,3,0,0,7,0,2,0
112871,8,0,4,8,0,1,0,0,10,6,3,0
26789,3,0,1,2,0,1,0,1,4,3,1,0
69105,4,0,1,5,0,0,0,1,7,2,1,0
106649,7,0,4,1,0,1,0,1,2,1,3,0
126992,2,0,1,8,0,1,0,1,10,1,1,0
55481,6,0,6,0,0,1,0,0,1,1,0,0
26848,7,0,1,7,0,1,0,2,9,1,1,0
81930,5,0,2,7,1,1,0,0,9,1,1,0
115125,8,0,1,5,0,1,0,0,7,1,1,0
343,0,0,1,5,0,0,0,0,7,7,1,0
26261,6,0,1,8,0,2,0,3,10,7,1,0
73317,6,0,3,8,0,1,0,0,10,1,2,0
13598,3,0,7,0,0,3,0,0,5,0,0,0
78834,7,0,0,3,0,0,0,0,5,1,0,0
38952,8,0,0,7,0,0,0,0,9,0,0,0
131079,2,0,2,7,0,2,0,1,9,7,1,0
122246,1,1,2,5,0,1,1,3,7,1,1,0
116791,3,0,5,7,0,3,0,0,9,7,1,1
21080,2,0,7,0,0,1,0,1,2,1,0,0
95633,0,2,0,2,0,0,1,0,4,0,0,0
38795,8,0,1,7,0,1,0,1,9,1,1,0
138487,4,0,6,0,0,0,0,0,1,1,0,0
128925,8,0,7,0,0,2,0,0,5,6,0,0
78136,8,0,7,0,0,2,0,0,2,0,0,0
1140,10,0,1,3,0,0,0,1,5,0,1,0
46754,9,2,7,0,0,1,0,0,4,5,0,0
125878,2,0,4,5,0,2,0,1,7,2,3,0
74625,3,1,6,0,0,1,0,0,1,0,0,0
118858,1,0,3,7,0,2,0,2,9,5,2,0
92091,4,0,2,8,0,2,0,2,10,1,1,0
125262,1,0,3,7,0,2,0,3,9,7,2,0
148252,4,0,3,6,0,2,0,0,8,1,2,0
113119,7,0,7,0,0,1,0,0,2,1,0,0
77973,8,0,1,2,0,0,0,0,4,1,1,0
123447,2,0,1,1,0,0,0,0,3,1,1,0
131639,4,0,6,0,0,0,0,3,1,1,0,0
111686,6,1,7,0,0,1,0,0,1,2,0,0
67683,0,1,1,6,0,1,0,0,8,7,1,0
81462,10,0,6,0,0,0,0,0,1,1,0,0
129416,10,0,1,4,0,0,0,0,6,1,1,0
136118,0,0,1,5,0,0,0,2,7,1,1,0
67219,8,0,1,5,0,1,0,0,7,3,1,0
100325,7,0,1,6,0,1,0,2,8,5,1,0
147922,4,2,1,7,0,0,1,3,9,1,1,0
142290,7,0,1,8,0,3,0,1,10,2,1,0
24081,4,0,1,8,0,0,0,2,10,1,1,0
130211,3,0,4,6,0,2,0,2,8,1,3,0
64456,4,0,1,2,0,0,0,2,4,7,1,1
52479,6,0,7,0,0,2,0,0,4,1,0,0
45770,3,1,4,5,0,2,0,0,7,1,3,0
32209,1,2,3,4,1,0,0,0,5,6,2,1
135697,0,0,1,0,0,0,0,0,1,1,1,0
95256,5,0,6,0,0,2,0,1,1,6,1,1
96644,9,0,1,3,0,1,0,0,5,1,1,0
60139,6,1,1,6,0,2,0,0,8,1,1,0
79936,2,0,2,5,0,2,0,0,7,3,1,0
106189,0,0,1,2,0,0,0,1,4,1,1,0
29716,1,0,1,1,0,0,0,1,3,1,1,0
110160,3,0,3,4,0,0,0,3,5,5,2,0
74648,0,1,1,3,0,1,0,0,5,4,1,0
5850,7,0,0,8,0,0,0,0,10,1,1,0
124280,1,0,2,3,0,1,0,0,5,1,1,0
125031,3,0,7,0,0,1,0,0,5,1,0,0
38003,8,1,2,7,0,2,0,1,9,1,1,0
138718,6,1,2,8,0,1,0,1,10,1,1,0
88774,8,0,1,8,0,1,0,2,10,1,1,0
112831,4,0,3,3,0,1,0,2,5,2,2,0
100616,3,1,1,1,0,0,0,0,3,5,1,0
99570,3,0,7,0,0,3,0,0,7,0,0,0
26486,2,2,7,0,0,1,1,2,2,7,0,1
36102,2,0,1,4,0,0,0,1,5,1,1,0
131536,4,1,5,1,0,3,0,1,2,7,1,0
127296,4,1,4,6,0,2,0,3,8,7,3,0
73064,0,0,1,8,0,1,0,0,10,6,1,0
62066,8,0,1,8,0,1,0,0,10,1,1,0
80777,2,0,6,0,0,1,0,0,1,0,0,0
52194,4,0,6,0,0,0,0,0,1,1,0,0
21847,10,0,6,0,0,0,0,0,0,1,0,0
8189,4,1,7,0,0,2,0,0,5,1,0,0
40973,9,0,1,4,0,0,0,1,6,1,1,0
16584,10,0,4,2,0,1,0,0,4,2,3,0
551,8,2,1,5,0,1,1,3,7,7,1,0
35413,4,0,1,8,0,1,0,0,10,0,1,0
92286,9,0,6,0,0,0,0,0,1,1,0,0
32306,5,0,1,4,0,0,0,3,6,0,1,0
100495,5,1,7,0,0,1,0,0,6,2,0,0
89812,2,0,5,3,1,1,0,1,5,1,4,0
102300,4,0,4,2,0,1,0,3,4,2,3,0
147029,0,0,1,2,0,0,1,0,3,6,1,0
33838,1,0,2,3,0,1,0,2,5,7,1,0
105806,9,0,7,0,0,1,0,1,2,4,0,0
39591,2,0,7,0,0,2,0,0,7,1,0,0
67179,5,0,2,5,0,1,0,0,7,2,1,0
96568,6,1,1,7,0,1,0,0,9,1,1,0
59753,6,0,1,7,0,0,0,0,9,1,1,0
123213,5,0,1,2,0,1,0,2,4,1,1,0
130992,4,0,1,6,0,1,0,2,8,0,1,0
73254,3,0,7,0,0,1,0,0,2,1,0,0
139125,4,0,4,4,0,2,0,3,5,5,3,0
53641,2,0,5,5,0,1,0,1,7,0,4,0
138070,8,0,7,0,0,3,0,0,10,0,0,0
147758,1,0,3,7,0,2,1,0,9,1,2,0
94599,9,0,0,0,0,0,0,0,0,0,0,0
128798,8,0,0,6,0,0,0,0,8,1,0,0
42773,8,0,1,8,0,2,0,1,10,1,1,0
121726,3,0,4,5,0,2,0,2,7,1,3,0
130627,2,0,7,0,0,1,0,3,3,3,0,0
468,0,0,0,3,0,0,0,3,5,7,0,1
25454,8,0,1,3,0,1,0,0,5,1,1,0
34713,3,0,7,0,0,1,0,0,2,6,0,0
148977,8,0,1,5,0,0,0,0,7,1,1,0
21960,10,0,1,8,0,2,0,0,10,1,1,0
971,6,0,3,5,0,3,0,1,7,1,2,0
85053,1,0,3,8,0,2,0,3,10,5,2,0
143430,8,0,1,4,0,0,0,0,5,1,1,0
99501,1,0,1,4,0,0,0,2,6,1,1,0
25484,3,0,1,8,0,2,0,0,10,5,1,0
30847,2,0,3,8,0,2,0,2,10,1,2,0
142752,2,2,5,5,1,3,0,2,7,7,4,1
63621,4,0,1,4,0,2,0,2,6,3,1,0
69111,5,0,2,8,0,1,0,3,10,1,1,0
1722,0,0,0,4,0,0,0,0,6,1,0,0
130453,5,0,7,0,0,0,0,1,2,2,0,0
94350,2,0,7,0,0,1,0,0,2,1,0,1
93299,2,0,1,6,0,1,0,0,8,4,1,0
116151,1,0,0,4,0,0,0,0,6,1,1,0
59684,0,0,6,0,1,0,0,0,1,7,0,1
29695,10,0,0,6,0,0,0,0,8,1,1,0
33597,4,0,3,4,0,2,0,2,6,4,2,0
66769,2,0,4,4,0,1,0,1,6,5,3,0
133030,10,2,4,0,0,0,1,0,1,1,3,0
57242,5,1,1,7,0,2,0,0,9,5,1,0
95770,2,0,6,0,0,0,0,1,0,1,0,0
83479,5,0,1,3,0,1,0,1,5,2,1,0
66866,7,0,1,5,0,2,0,0,7,1,1,0
34593,9,0,2,5,0,0,0,0,7,3,1,0
34920,2,2,1,2,1,0,1,0,4,7,1,0
43323,6,0,5,5,0,2,0,0,7,7,4,0
69404,4,0,4,3,0,0,0,2,5,6,3,0
7363,0,0,1,1,0,0,0,0,2,5,1,0
45925,0,0,1,8,0,0,0,0,10,4,1,0
113645,8,2,2,2,0,1,1,0,4,1,1,0
145773,7,0,7,0,0,1,0,0,2,1,0,0
49872,2,0,1,0,0,0,0,2,1,1,1,0
42144,2,0,3,3,0,2,0,1,5,7,2,0
40033,6,0,3,8,0,3,0,3,10,1,2,0
145087,8,0,5,5,0,2,0,0,7,5,4,0
40218,3,0,0,2,0,0,0,0,4,1,0,0
52936,5,0,0,1,0,0,0,0,3,1,0,0
82717,5,0,1,4,0,0,0,1,6,5,1,0
49359,4,0,6,0,0,1,0,0,1,1,0,0
46920,4,0,1,4,0,2,0,0,6,4,1,1
48917,6,1,5,8,0,2,0,0,10,1,1,0
22846,3,0,5,2,0,1,0,0,4,5,4,1
78273,8,0,6,0,0,0,0,0,1,6,0,0
145719,3,0,1,8,0,0,0,2,10,6,1,0
53186,10,1,1,4,0,0,0,0,5,7,1,0
149916,4,2,3,7,0,2,0,1,9,2,2,0
47602,4,0,1,8,0,1,0,1,10,1,1,0
80544,5,0,3,5,0,2,0,0,7,1,2,0
22017,4,0,3,5,1,2,0,2,7,1,2,1
50413,10,0,6,0,0,0,0,0,1,7,0,1
73189,1,0,2,6,0,3,0,0,8,1,1,0
87302,10,0,0,5,0,0,0,0,7,0,0,0
79063,9,0,2,0,0,0,0,0,2,3,1,0
76498,3,0,1,6,0,1,0,3,8,2,1,0
98589,9,0,0,3,0,0,0,0,5,1,0,0
5352,5,0,1,8,0,0,0,1,10,2,1,0
64912,1,0,1,1,0,0,0,0,3,1,1,0
144048,2,1,6,0,0,1,0,1,1,5,0,0
73562,10,0,1,8,0,0,0,0,10,0,1,0
122351,0,0,6,0,0,0,1,0,1,7,0,0
67403,0,0,1,5,0,0,1,0,7,4,1,0
17816,9,2,4,2,1,1,0,1,4,7,3,1
2799,0,0,1,1,0,1,1,0,3,1,1,0
126803,1,0,5,3,0,1,0,0,5,2,4,0
81756,9,0,7,0,0,1,0,0,2,1,0,0
101623,2,1,3,3,0,0,0,1,5,4,2,0
149124,10,0,1,8,0,1,0,0,10,1,1,0
71932,10,0,0,7,0,0,0,1,9,0,0,0
139275,0,1,1,3,0,0,0,0,5,3,1,0
132155,6,0,1,8,0,1,0,1,10,1,1,0
58115,4,0,4,4,0,1,0,1,5,4,3,0
12684,0,0,2,6,0,2,0,2,8,5,1,0
113931,5,0,4,7,0,2,0,2,9,0,3,0
87669,0,0,0,1,1,0,1,0,2,7,0,1
43895,0,0,1,2,0,0,0,1,4,1,1,1
51204,0,2,1,4,0,0,1,0,5,1,1,1
149987,0,0,1,2,1,0,0,0,4,7,1,0
131642,1,2,5,2,0,2,1,0,4,6,1,1
16966,4,0,7,0,0,2,0,0,5,2,0,0
99981,4,0,7,0,0,0,0,0,2,1,0,0
121065,9,0,5,2,0,1,0,0,4,6,4,0
71382,4,0,5,4,0,1,0,1,5,5,4,0
35107,1,0,7,0,0,2,0,2,7,1,0,1
138910,2,0,6,0,0,0,0,0,1,1,0,0
32603,10,0,1,0,0,0,0,0,1,1,1,0
68770,10,0,0,5,0,0,0,0,7,1,1,0
8544,0,0,1,2,0,0,0,0,4,1,1,0
6387,2,0,1,6,0,1,0,1,8,3,1,0
48856,2,0,5,0,0,2,0,0,1,5,1,0
118527,0,0,6,0,0,0,0,0,1,6,0,1
69654,4,0,7,0,0,2,0,0,5,2,0,0
88458,6,1,1,7,0,2,0,0,9,0,1,0
88524,7,0,4,5,0,2,0,0,7,1,3,0
35686,7,0,4,1,0,1,0,0,3,7,3,0
40846,6,0,4,6,0,2,0,1,8,1,3,0
120438,2,0,1,5,0,0,0,1,7,4,1,0
104839,2,0,1,5,0,0,0,3,7,1,1,0
138494,5,0,6,0,0,0,0,0,0,1,0,0
25442,1,0,1,2,0,0,0,1,4,0,1,0
2277,5,0,3,5,0,2,0,0,7,7,2,1
149988,0,1,1,6,0,1,0,0,8,7,1,0
149892,2,1,7,0,0,0,0,0,2,7,0,0
54802,10,0,7,0,0,2,0,0,2,1,0,0
52551,3,0,1,8,0,1,0,1,10,1,1,0
142300,8,0,1,4,0,0,0,0,5,0,1,0
89807,10,0,0,5,0,0,0,0,7,0,0,0
9767,3,0,2,1,0,1,0,2,3,1,1,0
67154,0,0,6,0,0,0,0,0,1,7,0,0
87278,0,0,5,0,0,0,0,0,1,6,1,0
41246,10,0,0,4,0,0,0,0,5,0,0,0
137262,7,0,7,0,0,1,0,2,3,2,0,0
29564,5,0,3,4,0,1,0,0,5,5,2,0
43029,2,2,0,6,0,0,0,0,8,0,0,0
24047,2,0,2,5,0,1,0,2,7,2,1,0
68958,10,0,0,6,0,0,0,0,9,1,0,0
88521,2,0,1,6,0,1,0,3,8,5,1,0
108787,4,2,1,1,0,0,1,0,2,4,1,1
103293,5,1,2,5,1,1,0,3,7,7,1,1
35011,6,0,0,2,0,0,0,0,4,0,0,0
120929,6,0,7,0,0,1,0,0,2,1,0,0
75656,9,0,7,0,0,1,0,1,5,1,0,0
52398,3,0,0,1,0,0,1,0,2,6,0,0
139243,7,0,0,8,0,0,0,0,10,1,0,0
76165,5,0,4,2,0,2,0,0,4,1,3,0
84765,9,0,6,0,0,0,0,0,0,1,0,0
30124,3,0,6,0,1,1,0,0,1,0,0,0
3304,6,0,1,5,0,2,0,1,7,0,1,0
101846,6,0,1,5,0,1,0,2,7,1,1,0
55822,2,0,0,5,0,0,0,0,7,1,1,0
149216,9,0,6,0,0,1,0,0,1,1,0,0
46545,6,0,7,0,0,2,0,1,6,6,0,0
37922,0,1,1,2,0,0,0,2,4,7,1,0
11128,4,0,5,1,0,2,0,2,3,1,1,0
74312,8,0,7,0,0,1,0,0,2,1,0,0
61204,6,0,4,1,0,0,0,0,2,7,3,0
67451,6,0,1,4,0,1,0,0,5,1,1,0
142254,4,2,1,2,0,0,0,2,3,3,1,0
38223,2,0,1,4,1,0,0,3,6,7,1,0
94996,2,0,1,7,0,2,0,0,9,3,1,0
46616,9,0,1,5,0,0,0,0,7,7,1,0
6587,2,0,7,0,0,2,1,2,2,1,0,0
40401,3,1,1,8,0,0,0,0,10,5,1,0
9965,3,1,3,3,0,1,0,2,5,3,2,0
136615,4,1,1,8,0,3,0,0,10,1,1,0
17274,8,0,7,0,0,1,0,0,2,1,0,0
57171,8,0,4,2,0,2,0,1,4,1,3,0
56680,6,1,1,7,0,1,0,0,9,4,1,0
27812,0,0,1,1,0,0,1,3,3,1,1,0
23833,6,0,3,7,0,2,0,0,9,1,2,0
103498,10,0,6,0,0,0,0,0,0,7,0,0
140888,7,1,5,3,0,3,0,0,5,3,4,0
111993,5,0,1,8,0,1,0,0,10,2,1,0
148880,1,0,7,0,0,2,0,0,2,0,0,0
112415,8,0,7,0,0,3,0,0,7,5,0,1
120944,2,0,3,5,0,1,0,0,7,7,2,0
132920,0,0,0,0,0,0,0,0,0,0,0,0
133130,3,0,7,0,0,1,0,2,2,7,0,1
27259,3,0,3,5,0,3,0,1,7,1,2,0
91376,7,0,1,2,0,0,0,0,3,0,1,0
25950,5,0,7,0,0,1,0,1,3,0,0,0
11851,5,0,1,7,0,1,0,2,9,1,1,0
31220,4,0,1,6,0,1,0,2,8,1,1,0
22924,2,1,4,4,0,1,0,1,5,1,3,0
49623,3,0,1,8,0,0,0,2,10,5,1,1
147449,8,0,1,8,0,1,0,0,10,7,1,0
30261,8,0,0,0,0,0,0,0,0,0,0,0
46738,2,0,1,5,0,0,0,3,7,1,1,0
1038,0,0,1,1,0,0,0,0,2,7,1,0
104085,2,0,6,0,0,0,0,0,0,7,0,0
14284,8,0,1,1,0,0,0,0,2,1,1,0
109215,10,0,6,0,0,0,0,0,0,1,0,0
121638,3,0,4,5,0,1,0,2,7,1,3,0
35693,6,0,2,8,0,1,0,3,10,1,1,0
46392,1,0,5,0,0,0,0,0,0,7,0,0
135861,0,0,6,0,1,0,0,0,1,7,0,1
2633,0,0,6,0,0,2,0,3,1,7,1,0
117966,6,1,7,0,0,1,0,0,2,2,0,0
13193,4,0,4,4,1,1,1,1,5,6,3,1
80461,1,0,7,0,0,2,0,0,7,4,0,0
15382,4,0,1,5,0,2,0,1,7,4,1,0
100731,4,0,1,5,0,1,0,1,7,1,1,0
145386,6,1,3,7,0,1,0,0,9,5,2,0
81364,2,2,1,7,0,1,0,1,9,1,1,0
121958,7,1,1,8,0,0,1,0,10,1,1,0
126412,4,0,4,3,0,1,0,1,5,1,3,0
139326,2,0,7,0,0,1,0,0,4,7,0,0
3375,5,0,1,7,0,0,0,0,9,1,1,0
122769,9,0,7,0,0,1,0,0,3,1,0,0
107450,9,0,7,0,0,2,0,0,1,1,0,0
108696,0,0,1,7,0,3,0,0,9,2,1,0
57836,7,0,7,0,0,1,0,2,2,1,0,0
60672,6,2,4,2,0,1,0,0,4,5,3,0
27978,3,0,7,0,0,1,0,0,2,0,0,0
21590,2,0,1,4,0,1,0,0,5,0,1,0
76867,3,0,1,6,0,2,0,0,8,1,1,0
53394,7,0,1,4,0,0,0,0,5,7,1,0
50481,9,0,2,2,0,0,0,0,4,6,1,0
111261,4,0,1,2,0,0,0,1,4,5,1,0
126904,2,1,1,0,0,0,0,0,1,1,1,0
94305,4,0,2,6,0,3,0,1,8,2,1,0
32316,2,2,5,1,0,1,0,0,2,6,4,0
63643,2,0,3,5,0,2,0,1,7,5,2,0
142126,7,0,2,7,0,3,0,2,9,1,1,0
133019,4,0,2,8,0,3,0,3,10,1,1,0
12090,1,0,1,5,0,0,0,2,7,1,1,0
87013,2,0,5,4,0,2,0,2,5,0,4,0
127940,5,0,2,7,0,1,0,3,9,2,1,0
77897,9,0,5,5,0,2,0,0,7,6,4,0
100953,3,0,7,0,0,0,0,0,1,1,0,0
68627,0,1,1,1,0,0,0,1,2,1,1,1
127561,7,0,7,0,0,0,0,3,4,5,0,0
48717,9,0,0,0,0,0,0,0,0,0,0,0
80838,8,0,1,0,0,0,0,0,2,0,1,0
4925,8,0,4,7,0,2,0,1,9,2,3,0
98616,9,0,5,8,0,2,0,2,10,5,4,0
71185,8,0,6,0,0,1,0,0,1,7,0,0
70882,2,0,2,5,0,2,0,0,7,1,1,0
75052,9,0,4,4,0,1,0,0,5,1,3,0
59351,7,1,1,8,0,1,0,1,10,4,1,0
3233,7,2,3,6,1,1,1,0,8,7,2,0
66812,0,0,0,1,0,0,0,1,2,5,0,0
17390,10,0,0,7,0,0,0,1,9,0,0,0
126013,6,0,2,5,0,1,0,3,7,1,1,0
133802,2,0,5,4,0,1,0,0,6,5,4,0
144241,3,1,3,7,0,2,0,3,9,6,2,0
37780,4,0,1,7,0,2,0,3,9,1,1,0
58843,2,0,2,8,0,3,0,2,10,3,1,0
40944,3,0,5,6,0,2,0,0,8,7,4,0
110067,7,0,7,0,0,2,0,0,1,1,0,0
2170,1,2,2,5,1,0,1,1,7,7,1,1
117858,4,0,1,4,0,0,0,0,5,0,1,0
25693,4,0,1,6,0,1,0,2,8,0,1,0
29860,6,0,6,0,0,0,0,0,0,0,0,0
142260,7,0,1,1,0,0,0,0,2,1,1,0
147508,6,0,7,0,0,2,0,0,4,3,0,0
53348,3,0,1,3,0,0,0,3,5,1,1,0
16576,4,0,2,4,0,1,0,3,6,3,1,0
8251,4,0,0,5,0,0,0,1,7,7,1,1
74185,10,0,1,4,1,0,0,1,6,0,1,0
27190,8,0,1,6,0,1,0,1,8,1,1,0
116441,1,0,1,5,0,0,0,0,7,7,1,0
13998,2,1,6,0,1,1,0,0,1,7,0,1
92174,10,0,1,1,0,0,0,0,2,1,1,0
87462,2,0,1,3,0,0,0,1,5,4,1,0
126538,0,0,5,0,0,1,0,0,1,5,1,0
60707,3,0,5,0,0,2,0,0,2,3,1,0
91260,3,0,7,0,0,2,0,0,4,5,0,0
97114,6,0,1,8,0,2,0,1,10,1,1,0
18762,3,0,5,4,0,1,0,1,5,6,4,0
63535,3,0,1,8,0,1,0,3,10,1,1,0
69240,4,0,2,2,0,1,0,3,4,0,1,0
56090,3,0,1,6,0,1,0,3,8,1,1,0
102771,2,0,0,8,0,0,0,0,10,1,1,0
4226,4,0,1,6,0,0,0,0,8,7,1,0
40986,3,0,1,6,0,0,0,0,8,6,1,1
23835,0,0,6,0,0,0,0,0,0,2,0,0
136142,4,0,5,3,0,1,0,1,5,6,4,0
130102,6,0,6,0,0,0,0,0,1,7,0,1
92241,2,0,1,2,0,0,0,2,3,1,1,0
13664,10,0,0,5,0,0,0,0,7,1,0,0
62863,5,0,1,5,0,1,0,0,7,1,1,0
48406,4,2,1,7,1,1,0,3,9,7,1,1
32740,10,0,2,4,0,1,0,1,6,1,1,0
45691,0,0,0,0,0,0,0,0,0,0,0,0
39539,5,0,1,5,0,1,0,3,7,1,1,0
126351,3,0,4,1,0,1,0,2,3,1,3,0
76258,2,0,1,6,0,2,0,1,8,1,1,0
93261,7,0,2,3,0,2,0,1,5,6,1,0
110148,4,0,1,5,0,0,0,0,7,2,1,0
95765,9,0,1,8,0,1,0,0,10,1,1,0
93182,1,0,0,5,0,0,0,0,7,1,0,0
61000,9,0,1,7,0,2,0,0,9,1,1,0
21765,0,0,5,0,0,0,0,0,1,6,1,0
9129,5,0,1,5,0,0,0,0,7,1,1,0
108595,0,0,2,0,0,0,0,2,2,4,1,0
6847,7,0,1,0,0,0,0,0,2,1,1,0
113939,10,0,6,0,0,1,0,1,1,0,0,0
2076,9,0,6,0,0,1,0,0,1,1,0,0
83453,4,1,3,7,0,2,0,0,9,1,2,0
77573,2,0,1,5,0,0,0,3,7,3,1,0
91887,1,1,4,4,0,1,0,1,6,5,3,0
120181,7,2,6,0,0,0,0,0,0,1,0,0
21587,10,0,6,0,0,0,0,0,0,1,0,0
72262,7,0,7,0,0,1,0,0,1,1,0,0
37305,4,0,5,8,1,3,0,0,10,1,4,0
131897,2,0,5,0,0,1,0,0,2,2,1,0
12077,0,0,6,0,1,0,1,0,1,1,0,0
139603,10,0,0,2,0,0,0,0,3,1,1,0
8734,3,0,1,3,1,1,0,0,5,0,1,0
84373,3,0,7,0,0,2,0,3,8,1,0,0
24899,10,0,4,5,0,1,0,0,7,1,3,0
145793,3,0,0,8,0,0,0,3,10,7,0,0
51592,3,0,3,5,0,1,0,0,7,4,2,0
52799,1,0,2,4,0,2,0,0,6,1,1,0
141502,1,1,1,3,0,1,1,2,5,3,1,0
41299,10,2,3,8,0,2,0,1,10,1,2,0
97452,0,0,5,0,0,0,0,3,1,6,1,1
124531,1,0,1,6,0,1,0,3,8,0,1,0
45432,7,0,2,7,0,1,0,0,9,0,1,1
105890,4,2,0,7,1,0,1,0,9,7,0,0
66916,5,0,5,1,0,1,0,0,3,1,1,0
125815,4,0,6,0,0,0,0,0,1,3,0,0
80568,4,0,3,7,0,2,0,1,9,5,2,0
94603,7,0,0,5,0,0,0,0,7,0,0,0
130885,9,0,5,1,0,1,0,0,2,3,1,0
149221,7,0,1,7,0,1,0,0,9,1,1,0
147706,4,0,3,3,0,0,0,1,5,6,2,0
143589,1,0,1,8,0,0,0,0,10,0,1,0
69894,8,1,5,1,0,1,0,0,2,4,4,0
8498,5,0,5,1,0,1,0,0,2,1,1,0
41781,1,0,5,1,0,1,0,2,2,1,4,0
38123,9,0,6,0,0,0,0,0,0,1,0,0
55930,6,0,5,4,0,1,0,0,6,5,4,0
46108,7,1,5,4,0,2,0,0,6,6,1,1
144531,4,2,1,5,0,0,1,0,7,5,1,0
122512,2,0,1,5,0,0,0,2,7,4,1,0
10407,7,0,0,0,0,0,0,0,0,0,0,0
46242,6,0,7,0,0,2,0,0,2,1,0,0
32420,1,0,6,0,0,0,0,0,0,2,1,0
88274,0,0,1,7,0,0,0,2,9,7,1,1
22760,8,0,3,6,0,2,0,0,8,0,2,0
38040,0,0,1,1,0,0,0,0,2,0,1,0
114231,10,0,1,1,0,0,0,0,2,1,1,0
80504,5,0,1,6,0,0,0,1,8,1,1,0
121307,0,0,0,0,0,0,0,0,1,0,0,0
61395,1,0,0,0,0,0,0,1,2,0,0,0
27803,8,1,4,1,0,0,0,0,2,5,3,1
46629,8,0,1,5,0,1,0,0,7,1,1,0
141143,1,0,3,3,0,1,0,0,5,1,2,0
86688,4,1,1,5,0,1,0,3,7,5,1,0
12408,4,0,0,3,0,0,0,0,5,0,0,0
88738,9,0,0,8,0,0,0,0,10,1,0,0
44381,9,0,1,6,0,3,0,0,8,0,1,1
15757,7,0,1,3,0,1,0,3,5,1,1,0
127246,8,0,7,0,0,1,0,0,3,1,0,0
31583,0,0,1,4,0,0,0,0,6,5,1,0
42173,6,1,1,4,0,2,0,0,6,0,1,0
138849,4,0,3,0,0,0,0,1,2,7,2,0
111658,2,0,7,0,0,1,0,0,2,1,0,0
49597,0,0,5,0,0,0,0,0,0,0,0,0
61300,6,0,6,0,0,0,0,0,1,0,0,0
145829,4,2,3,8,0,1,0,1,10,4,2,0
29247,5,0,2,8,0,3,0,1,10,3,1,0
106875,6,1,3,8,0,2,0,1,10,1,2,0
83170,8,0,3,1,0,1,0,0,3,1,2,0
34307,4,0,0,0,0,0,0,0,0,0,0,0
2741,7,0,5,7,0,3,0,0,9,4,4,0
63761,4,0,1,3,0,0,0,0,5,5,1,0
140070,10,0,1,2,0,1,0,0,4,0,1,0
120185,3,0,1,2,0,0,0,0,4,1,1,0
29288,8,0,1,6,0,1,0,0,8,1,1,0
30775,8,0,6,0,0,0,0,0,0,1,0,0
129839,9,0,0,2,0,0,0,1,4,1,1,0
57094,0,1,0,8,0,0,1,0,10,0,0,0
108729,7,0,3,5,0,2,0,0,7,0,2,0
83064,9,0,1,5,0,0,0,0,7,1,1,0
67790,8,0,1,7,0,1,0,0,9,4,1,0
131153,9,0,7,0,0,2,0,0,2,1,0,0
114201,2,0,7,0,0,1,0,0,2,1,0,0
40898,2,0,1,6,0,1,0,2,8,1,1,0
36324,4,0,3,5,0,2,0,1,7,1,2,0
33901,9,0,7,0,0,1,0,0,1,1,0,0
90632,1,0,1,3,0,0,0,0,5,7,1,0
103617,4,0,3,7,0,2,0,2,9,3,2,0
57046,5,0,1,6,0,1,0,2,8,1,1,0
15335,2,0,4,4,0,2,0,2,6,1,3,0
145215,3,0,5,1,0,2,0,0,3,7,1,0
137470,9,0,1,0,0,0,0,0,2,0,1,0
82810,0,0,6,0,0,0,1,1,0,7,0,1
50037,8,0,2,8,0,2,0,0,10,1,1,0
44864,4,0,5,3,0,2,0,1,5,1,1,0
147114,6,0,4,7,0,1,0,0,9,5,3,0
53900,8,0,6,0,0,0,0,0,1,1,0,0
120732,1,0,1,5,0,0,0,2,7,4,1,0
49900,9,0,1,8,0,0,0,0,10,1,1,0
34539,4,2,1,5,0,0,0,0,7,1,1,0
42229,4,0,3,5,0,1,0,2,7,6,2,0
79917,9,0,6,0,0,0,0,0,0,1,0,0
132100,3,1,1,2,0,0,0,0,4,1,1,1
90468,10,0,5,0,0,0,0,0,0,0,0,0
84553,5,0,2,4,0,1,0,1,5,3,1,1
49216,6,0,7,0,0,1,0,0,7,4,0,0
76527,8,0,7,0,0,3,0,0,5,6,0,0
114726,4,2,5,8,0,3,0,0,10,5,1,0
44839,6,0,1,8,0,2,0,0,10,1,1,0
7863,2,0,3,7,0,2,0,0,9,0,2,0
58337,5,1,4,6,0,2,0,1,8,7,3,0
64158,8,0,1,7,0,1,0,0,9,0,1,0
25664,10,0,1,4,0,0,0,0,5,1,1,0
83767,8,0,5,7,0,2,0,0,9,5,4,0
84592,10,0,5,5,0,2,1,1,7,6,4,0
119309,9,0,1,8,0,1,0,1,10,1,1,0
54976,9,0,3,4,0,1,0,0,6,1,2,0
